"Word","CEFR"
"självklart","A1"
"lämplig","A1"
"ting","A1"
"minne","A1"
"strategi","A1"
"dyka","A1"
"orka","A1"
"kontrollera","A1"
"planera","A1"
"färg","A1"
"lova","A1"
"citera","A1"
"finansiell","A1"
"ständigt","A1"
"spår","A1"
"kall","A1"
"vuxen","A1"
"allians","A1"
"faktor","A1"
"kvalitet (el. kvalité)","A1"
"upp","A1"
"utländsk","A1"
"svag","A1"
"sköta","A1"
"vägra","A1"
"rike","A1"
"framgå","A1"
"judisk","A1"
"studera","A1"
"farlig","A1"
"framgång","A1"
"tolka","A1"
"billig","A1"
"iväg","A1"
"student","A1"
"och så vidare (förk. o.s.v., osv.)","A1"
"visserligen","A1"
"vara","A1"
"undantag","A1"
"tillgänglig","A1"
"enorm","A1"
"behålla","A1"
"dricka","A1"
"aktion","A1"
"bry sig","A1"
"relativt","A1"
"tung","A1"
"arbetsgivare","A1"
"med hjälp av","A1"
"tvärtom (el. tvärt om)","A1"
"notera","A1"
"nation","A1"
"sänka","A1"
"ärende","A1"
"givare","A1"
"kull","A1"
"nyligen","A1"
"rättelse","A1"
"delvis","A1"
"medföra","A1"
"ifrågasätta","A1"
"för övrigt","A1"
"län","A1"
"gata","A1"
"medveten","A1"
"serie","A1"
"rimlig","A1"
"ty","A1"
"invandrare","A1"
"dörr","A1"
"direktiv","A1"
"stiga","A1"
"tiga","A1"
"fot","A1"
"begränsad","A1"
"vag","A1"
"äntligen","A1"
"vänster","A1"
"ner (el. ned)","A1"
"väcka","A1"
"leta","A1"
"häst","A1"
"kategori","A1"
"brittisk","A1"
"följd","A1"
"ed","A1"
"fred","A1"
"traditionell","A1"
"användning","A1"
"riskera","A1"
"tappa","A1"
"inkomst","A1"
"nöjd","A1"
"kläder","A1"
"spara","A1"
"styrelse","A1"
"intervju","A1"
"starkt","A1"
"slutligen","A1"
"bit","A1"
"muslimsk","A1"
"vetenskaplig","A1"
"överens","A1"
"framtida","A1"
"bevis","A1"
"fast","A1"
"sexuell","A1"
"exakt","A1"
"arbetsmarknad","A1"
"underbar","A1"
"post","A1"
"extra","A1"
"offer","A1"
"sektor","A1"
"vinst","A1"
"England","A1"
"inflytande","A1"
"budskap","A1"
"klicka","A1"
"tips","A1"
"världskrig","A1"
"med tanke på","A1"
"självklar","A1"
"båt","A1"
"borta","A1"
"regional","A1"
"framåt","A1"
